year,songtitle,artistname,songID,artistID,timesignature,timesignature_confidence,loudness,tempo,tempo_confidence,key,key_confidence,energy,pitch,timbre_0_min,timbre_0_max,timbre_1_min,timbre_1_max,timbre_2_min,timbre_2_max,timbre_3_min,timbre_3_max,timbre_4_min,timbre_4_max,timbre_5_min,timbre_5_max,timbre_6_min,timbre_6_max,timbre_7_min,timbre_7_max,timbre_8_min,timbre_8_max,timbre_9_min,timbre_9_max,timbre_10_min,timbre_10_max,timbre_11_min,timbre_11_max,Top10
2009,Love Sex Magic,Ciara,SOMHVPR135C33B4BCD,ARS2P621187FB37B82,4,1.0,-6.3610000000000015,106.966,0.857,8,0.7509999999999999,0.655673677,0.008,19.419,56.339,-169.33900000000003,415.952,-191.764,168.583,-331.55800000000005,256.603,-73.666,164.419,-114.593,254.808,-100.274,69.164,-154.189,162.825,-89.87799999999999,49.449,-95.86,99.688,-156.386,74.464,-50.067,46.874,1
1995,Let Her Cry,Hootie & The Blowfish,SOBKJRT12A3F1EA65C,AR374SZ1187B994BA0,4,0.941,-6.704,71.48100000000002,0.275,7,1.0,0.711428993,0.005,0.0,56.732,-134.091,171.13,-107.794,105.963,-133.053,81.78399999999998,-70.84,119.44,-68.149,191.655,-87.416,57.887,-65.122,66.494,-77.097,45.2,-52.261,50.048,-60.424,43.056,-45.52,42.95399999999999,1
2008,The Time Of My Life,David Cook,SOYHWES1315CD48E99,ARFN2TE11A348EFFB4,4,1.0,-6.7010000000000005,103.298,0.194,8,0.56,0.5687558779999999,0.003,0.033,56.286,-124.137,191.32,-114.647,92.767,-380.823,157.871,-76.495,144.988,-82.641,54.932,-75.642,75.431,-94.476,128.67,-69.453,31.487,-82.493,80.932,-54.804,29.93,-58.188,38.216,1
2005,Rich Girl,Gwen Stefani,SOEEFWJ13B0031779C,ARVBRGZ1187FB4675A,4,1.0,-2.548,98.027,1.0,0,0.755,0.785235798,0.005,0.0,58.463,-57.584,263.281,-217.907,187.129,-250.484,387.429,-31.167,163.44299999999996,-112.398,172.507,-103.391,106.619,-117.495,115.712,-59.045,55.43899999999999,-56.514,75.402,-154.917,78.611,-58.452,36.12300000000001,1
2002,Without Me,Eminem,SOCFOGA1315CD47038,ARTH9041187FB43E1F,4,0.991,-3.617,112.248,1.0,7,0.7859999999999999,0.616785905,0.0,0.098,55.913,-99.997,342.396,-292.49,122.01,-305.843,237.247,-72.563,97.236,-132.414,179.08900000000003,-80.122,114.448,-140.501,124.316,-86.181,83.374,-94.854,96.198,-132.57,72.26,-64.347,37.217,1
2004,I Will Follow,U2,SORWSQA12A8C14226F,ARUJ5A41187FB3F5F1,4,0.789,-16.199,74.726,0.191,10,0.429,0.779430953,0.027000000000000003,29.295,48.661,-47.694,208.925,-47.878,225.882,-93.538,58.476000000000006,-47.492,103.744,-76.37,81.889,-66.09100000000001,64.765,-36.861,50.29,-53.142,52.517,-30.388,51.121,-40.742,70.436,-46.668,39.417,0
2004,I'm So Excited,Le Tigre,SOECYSB1315CD47628,ARZPYZ11187FB4938A,4,0.858,-2.471,91.587,1.0,7,0.544,0.918080791,0.003,0.0,60.154,-99.479,236.883,-124.59,206.378,-116.349,190.058,-46.479,122.105,-95.029,126.524,-72.687,60.853,-71.125,59.375,-91.953,29.467,-49.183,88.141,-79.938,74.39,-56.191,57.307,0
2002,Tower of Song,Leonard Cohen,SOGXKBZ1376E7E6F1D,ARTQ8QP1187FB3D220,4,1.0,-22.516,99.604,0.888,11,0.735,0.16772769,0.004,1.921,42.2,-164.85,228.739,-149.705,114.065,-229.029,125.499,-56.657,123.079,-107.024,112.452,-70.90899999999998,63.767,-109.19,113.664,-79.462,51.99,-60.047,75.176,-74.143,46.21100000000001,-44.556,53.47,0
1997,I'll Be Missing You,Puff Daddy & Faith Evans,SOPHSUK13ADE62810E,ARPOVOG13ADD3865BB,4,1.0,-7.854,109.869,0.821,7,0.598,0.475070715,0.004,10.158,55.941,-174.77900000000002,204.008,-179.42,154.127,-266.719,168.21599999999995,-75.22,97.15,-93.982,188.842,-88.041,100.71,-98.278,103.93,-51.147,45.107,-76.896,73.311,-92.502,85.382,-62.706,38.733,1
2006,Wolves in Wolves' Clothing,NOFX,SOKPDSR12A8C1332A6,AR06EB01187FB40150,4,0.636,-4.686,105.484,0.048,0,0.55,0.936779123,0.006,1.227,57.743,-40.411,177.16299999999995,-148.656,182.409,-120.87,437.319,-89.43,49.299,-226.435,199.226,-87.64200000000002,71.82,-80.313,74.362,-55.932,44.904,-74.654,57.392,-69.438,72.219,-61.24800000000001,21.68,0
2009,Crying,Yngwie Malmsteen,SOXVLVX1311AFEDEA2,ARWVYIM11F4C8411E4,4,0.618,-8.821,109.99,0.946,6,0.679,0.597772121,0.004,0.32,54.772,-134.149,163.819,-23.146,134.799,-90.087,69.422,-46.053,90.38,-63.063,108.38,-54.077,59.088,-44.997,37.84,-33.611999999999995,27.807,-54.529,55.215,-37.712,31.133000000000006,-33.311,34.359,0
1996,Breakfast At Tiffany's,Deep Blue Something,SOCLPGZ1376BFFC171,AR97V5X1187FB4AE98,4,1.0,-8.561,110.374,0.923,2,0.513,0.800272814,0.001,0.0,55.049,-173.998,206.747,-172.86,63.872,-95.387,49.757,-70.517,86.507,-94.99,107.366,-76.517,47.803,-73.44,101.994,-65.324,55.94300000000001,-43.514,51.548,-54.179,66.938,-66.836,44.368,1
2004,Vertigo,U2,SOXZTVQ13776773049,ARUJ5A41187FB3F5F1,4,0.857,-4.967,140.037,0.466,9,0.6579999999999999,0.822110978,0.031,0.0,58.528,-57.775,334.077,-104.257,80.307,-226.22,187.665,-62.952,73.363,-83.947,193.763,-50.942,62.923,-62.057,116.386,-70.292,77.756,-57.62300000000001,53.81800000000001,-78.321,29.272,-49.785,35.461,0
2008,In the Rainy Season,Strapping Young Lad,SOUTVWC13775100417,AR4IE571187FB4ECE1,4,0.75,-9.932,119.466,0.348,7,0.34600000000000003,0.959175362,0.006,0.269,52.64,-194.307,170.308,-104.976,138.236,-97.73,51.065,-74.584,95.732,-73.085,21.012,-56.926,60.469,-58.657,77.843,-36.415,47.839,-30.176,42.955,-43.082,20.388,-36.704,35.727,0
1997,S.R.,Reel Big Fish,SOOLNCP1311AFE42A4,ARZJ4MI1187B9AF5AF,4,1.0,-7.99,106.901,0.94,11,0.14300000000000002,0.613322963,0.028,1.147,52.962,-33.235,310.5420000000001,-153.334,148.533,-160.3,369.516,-75.048,110.964,-106.659,267.61400000000003,-80.796,76.551,-69.252,90.302,-90.01799999999999,48.868,-59.905,68.257,-145.588,49.405,-61.402,41.01600000000001,0
2007,Stay Together,Jennifer Lopez,SOEKMYD12AF72A1B7F,AR7C6G11187B9B4C1E,4,1.0,-4.914,111.06,0.93,8,0.454,0.8801007809999999,0.006,0.0,58.578,-128.542,275.383,-135.842,216.97,-137.718,255.406,-63.827,128.645,-106.983,114.526,-90.83,75.078,-65.062,103.275,-60.327,52.518,-58.479,70.329,-71.933,43.635,-53.934,50.306,0
1998,My Body,LSG,SONLWGT1312FDFABF3,ARK9OFF1187FB5C152,4,1.0,-5.635,119.766,0.823,3,0.584,0.47430887,0.002,0.076,56.549,-108.32,184.356,-170.834,206.753,-142.216,194.789,-67.584,152.494,-122.088,152.506,-95.845,80.21300000000002,-85.103,130.012,-60.812,60.775,-65.876,78.384,-84.296,47.632,-60.198,55.319,1
2002,My Sacrifice,Creed,SOMJJLF135C203A8B1,ARVHLDB1187FB5B45A,4,0.787,-6.347,146.759,0.327,2,0.68,0.882589863,0.002,0.013,56.984,-151.747,170.773,-114.886,113.669,-97.635,85.976,-69.205,129.591,-64.359,58.674,-49.87600000000001,71.795,-94.847,62.245,-88.867,23.473000000000006,-59.338,54.45,-46.39,55.458,-71.546,78.433,1
2002,Die Another Day,Madonna,SOCGJGF13739D861CD,ARBEOHF1187B9B044D,4,1.0,-6.267,124.013,0.8059999999999999,10,0.0,0.735532332,0.006999999999999999,34.593,56.231,-187.051,196.437,-98.237,196.381,-122.658,168.208,-44.495,124.586,-126.904,128.216,-70.84,83.036,-69.641,60.833,-64.046,60.659,-85.447,59.166,-67.45,60.418,-61.849,43.467,1
2002,Use it Up,The Tragically Hip,SOELPHM13672E585FA,ARUHYH21187B98BA89,4,1.0,-6.744,126.78,1.0,4,0.975,0.743632637,0.022,1.735,57.113,-187.064,133.76,-87.934,94.509,-153.138,80.304,-61.124,67.543,-70.65899999999998,142.72799999999995,-65.54,109.097,-60.731,47.743,-52.94,51.803,-59.914,56.668,-49.981,42.76600000000001,-51.492,46.578,0
1992,Erotica,Madonna,SOXRECH12AB018A368,ARBEOHF1187B9B044D,4,1.0,-7.066,102.02,1.0,7,0.333,0.8075198440000001,0.002,0.0,56.424,-163.74200000000005,258.464,-214.291,82.916,-170.235,202.643,-71.015,106.802,-110.62,55.002,-87.62100000000002,94.357,-117.251,79.215,-57.255,52.688,-34.197,83.969,-76.625,43.374,-68.457,35.801,1
1997,Heatwave,Robert Miles,SOQJHVD1311AFEB834,AR2VJL41187B98F372,4,0.887,-10.703,79.308,0.0,7,0.65,0.448246744,0.0,21.995,54.27,-131.719,225.981,-203.271,207.48,-133.929,88.81700000000002,-79.066,168.41099999999997,-128.143,80.223,-65.574,83.90100000000002,-54.271,59.605,-76.839,55.497,-50.652,52.072,-59.033,40.349,-63.81,59.963,0
1999,Breathe,Faith Hill,SONDBCF12AF729F4C9,ARVNGA71187FB3C107,4,0.79,-6.2029999999999985,136.851,0.57,7,0.846,0.586106689,0.004,0.0,58.05,-114.997,213.27,-139.472,127.332,-245.314,346.665,-72.064,99.29,-186.044,91.394,-78.405,82.104,-100.194,99.212,-74.693,40.984,-77.142,50.637,-52.431,48.4,-47.297,39.253,1
2006,Lonesome Dark-Eyed Beauty,Willie Nile,SOJEICP13152A74DFA,ARNP8CV1187B9A0EBB,4,0.91,-8.371,80.714,0.722,1,0.383,0.476050649,0.002,0.002,56.327,-123.021,184.049,-116.924,92.004,-152.14,112.328,-56.139,146.07,-80.359,163.898,-96.629,51.178,-129.293,130.536,-64.003,52.044,-72.352,91.12,-62.353,31.98,-49.956,41.364,0
1992,Live And Learn,Joe Public,SONJRJW12AB0180A78,ARDRXO31187FB4DD18,4,0.998,-9.914,106.632,1.0,4,0.379,0.897702848,0.009000000000000001,0.0,52.959,-78.012,241.771,-154.493,133.27100000000002,-117.538,89.40799999999999,-83.152,109.598,-79.367,106.451,-80.803,93.803,-82.354,78.241,-79.911,48.637,-45.404,90.436,-65.383,44.235,-52.81,44.49800000000001,1
2009,Our Window,Noah and the Whale,SOQJHVY12AB0185E10,AR9ZC461187FB511F7,4,0.968,-17.641,115.953,0.322,10,0.914,0.183570404,0.003,8.132,49.897,-196.811,221.505,-134.592,83.178,-222.193,103.408,-76.28399999999998,102.323,-85.20299999999997,122.616,-81.637,74.122,-85.814,109.135,-64.663,40.659,-78.98100000000002,76.208,-85.839,50.949,-40.376,50.37600000000001,0
2006,Photograph,Nickelback,SOTGKIC135C3A98548,ARPAAHK1187B9ABB00,4,0.911,-4.089,145.94299999999996,0.139,8,0.332,0.88450392,0.006999999999999999,1.486,58.319,-30.504,223.49400000000003,-130.487,88.579,-110.519,266.997,-53.218,92.695,-84.446,57.517,-72.098,61.569,-71.536,92.563,-62.772,34.555,-41.699,46.69600000000001,-123.02,37.409,-55.775,37.559,1
2007,Ghostship,Menomena,SOAQMIX12AB0182045,ARQPBSY1187B997A26,3,0.128,-18.783,99.927,0.259,2,0.802,0.128155997,0.001,6.706,49.362,-265.935,182.429,-238.459,185.774,-165.988,274.427,-78.58,104.454,-173.123,112.587,-71.877,126.483,-103.35,81.008,-119.494,60.878,-69.589,51.62,-62.326,32.047,-32.334,50.302,0
2002,Them Days,Crazy Town,SOTIYRW136955E1852,ARNDQQ41187B9AE635,4,1.0,-5.218,91.006,0.949,1,0.29600000000000004,0.818997305,0.004,0.0,55.521,-228.098,180.654,-221.256,152.303,-192.175,240.787,-100.424,96.324,-99.937,218.605,-116.71,95.207,-164.11900000000003,134.906,-90.498,50.967,-61.627,90.655,-116.483,58.228,-51.072,38.586,0
2002,Petey Pablo,Angie Martinez,SORAXLQ13D0FA553D3,ARXLGCY1187B999F5A,4,0.0,-6.409,147.157,0.458,11,0.7609999999999999,0.8872068999999999,0.003,0.0,56.495,-108.654,276.909,-148.089,157.357,-131.161,304.014,-55.83600000000001,129.355,-98.307,119.363,-95.375,66.113,-110.642,79.85600000000002,-56.29,51.769,-64.779,83.34100000000002,-85.164,49.46,-50.292,47.219,0
2001,Bone Mill,Witchery,SOGHOHC13723F74A80,ARELGQR1187FB37C08,4,0.947,-5.604,75.725,0.456,8,0.0,0.987313768,0.049,19.473,56.842,7.369,144.49,-162.48,51.903,-137.477,441.269,-62.94600000000001,0.946,-132.142,70.53,-92.445,28.946,-26.539,91.586,-35.231,33.33,-68.344,25.041,-64.683,50.255,-37.673,32.249,0
1990,Son of a Gun,The La's,SOUHHHE130516DEE3F,AR8V85J1187B9ACB4A,4,0.993,-7.8610000000000015,74.954,0.598,7,0.168,0.887026557,0.01,0.0,55.195,39.122,178.148,-107.028,85.10799999999998,-75.012,175.28599999999997,-57.293,57.49100000000001,-68.24,175.618,-80.92699999999998,60.32899999999999,-54.931,58.44,-54.729,28.315,-30.645,39.511,-53.284,44.283,-41.908,39.749,0
1999,Maddest Hatter,Dokken,SORWDNZ1315CD49DA0,ARV8LAR1187FB3DE2A,4,0.723,-5.332999999999998,94.936,0.746,7,0.8640000000000001,0.918380863,0.016,0.0,56.39100000000001,-48.752,171.13,-139.391,209.629,-291.052,405.201,-87.42,129.828,-104.319,101.687,-72.41,85.988,-64.125,107.035,-66.902,44.621,-56.453,45.764,-88.305,48.065,-57.966,48.565,0
2006,What's Left Of Me,Nick Lachey,SOMQYUG131343A0A68,ARD0P0G1187B9BA535,4,0.818,-6.046,75.016,0.117,7,0.495,0.727367775,0.001,0.066,56.901,-222.0,262.997,-127.622,96.133,-271.711,261.053,-44.719,141.455,-92.926,66.817,-89.92,48.176,-94.426,84.54299999999998,-71.372,43.29600000000001,-66.82300000000001,63.75100000000001,-111.869,41.49100000000001,-49.31800000000001,46.065,1
1999,Bored to Tears,Black Label Society,SOCVEZQ1311AFD9503,ARQFUGM1187FB3E24E,4,0.963,-6.395,157.248,0.005,1,0.403,0.969870339,0.038,23.361,55.06800000000001,-44.288,203.773,-88.7,185.509,-361.36,106.409,-67.857,139.69799999999998,-122.983,175.104,-48.047,136.393,-34.167,66.52199999999999,-102.177,50.849,-31.059,63.951,-86.742,50.983,-67.903,66.917,0
2009,V Is for Vampire,Powerman 5000,SOMTKEB1312FDFE2D8,ARHJHO71187FB37F4A,4,0.998,-3.227,135.112,0.59,6,0.728,0.791592284,0.0,0.305,58.987,-81.843,470.693,-195.019,244.663,-318.936,404.395,-70.387,97.597,-215.93,199.067,-88.53200000000002,67.194,-105.443,88.734,-74.385,45.131,-90.793,86.243,-129.317,102.242,-59.62600000000001,51.46100000000001,0
1992,How Do You Talk To An Angel,The Heights,SOFYCLP1373FF9537C,ARSUR4X1187B99DB88,4,1.0,-5.359,80.99,0.8240000000000001,9,0.457,0.6528195520000001,0.011,0.0,57.74,-69.532,230.035,-91.846,156.959,-155.835,185.005,-55.477,97.842,-84.48299999999998,150.692,-81.665,61.228,-77.57,96.447,-50.07899999999999,52.78,-50.453,78.663,-72.891,63.684,-55.469,44.908,1
2008,Fearless,Taylor Swift,SOSZWAM13167715040,ARS54I31187FB46721,4,0.982,-4.722,100.028,0.879,5,0.88,0.73607708,0.003,8.71,58.608,-64.558,213.953,-134.279,125.724,-142.254,328.83,-88.676,131.872,-204.587,320.1040000000001,-104.229,69.111,-112.149,109.098,-78.878,53.883,-95.866,64.256,-82.964,49.537,-38.112,57.395,1
1994,She's Not the Cheatin' Kind,Brooks & Dunn,SODPNBS1376C641AE0,AREZWXB1187FB4958E,4,0.964,-8.221,110.6,1.0,9,0.647,0.727937433,0.006999999999999999,0.0,56.234,-63.411,171.13,-98.016,137.531,-164.53099999999995,138.315,-65.467,75.079,-110.44,101.285,-80.64699999999998,50.694,-62.813,71.233,-74.673,43.484,-45.78100000000001,59.69600000000001,-67.539,52.54600000000001,-51.011,39.904,0
2003,In Da Club,50 Cent,SOEIUHX13739368FCB,AR23C041187FB4D534,5,1.0,-3.033,120.031,0.416,1,0.17800000000000002,0.643851518,0.006,0.0,55.149,-148.019,273.82,-150.966,135.503,-198.278,238.76,-103.767,138.917,-75.533,180.196,-125.204,76.158,-168.46900000000005,102.569,-61.316,68.57600000000001,-95.876,112.85,-151.57399999999996,77.59899999999998,-55.01300000000001,67.523,1
2005,Bring Em Out,T.I.,SOZUESY135A143BE79,ARBS1OC1187FB44CAF,4,1.0,-7.744,99.236,0.868,1,0.122,0.825230575,0.008,35.904,55.063,-39.578,218.568,-137.773,117.112,-137.541,94.909,-52.803,128.359,-80.28,123.884,-70.58,58.29600000000001,-112.831,99.373,-76.638,33.89,-42.7,86.77600000000002,-79.508,23.889,-58.92100000000001,28.649,1
